Designator,Mid X,Mid Y,Rotation,Layer
C1,193.57,-132.64,180.0,top
C10,261.46,-67.34,90.0,top
C12,267.3,-139.05,90.0,top
C13,267.86,-67.39,270.0,top
C2,193.66,-140.17,180.0,top
C3,195.7,-121.3,90.0,top
C4,226.9,-73.361395,90.0,top
C5,204.2,-121.35,90.0,top
C6,227.01,-66.671395,0.0,top
C7,227.3,-115.3,270.0,top
C8,228.2,-105.25,270.0,top
C9,260.8,-138.45,0.0,top
D1,239.02,-67.46,90.0,top
D2,254.1,-138.35,270.0,top
D3,226.4,-138.73,90.0,top
F1,97.8,-94.75,90.0,top
H1,111.1,-66.07,0.0,top
H2,111.1,-142.1,0.0,top
H3,276.2,-66.75,0.0,top
H4,276.5,-137.85,0.0,top
HS1,257.0,-119.35,0.0,top
HS2,256.7,-85.85,0.0,top
J1,287.1,-71.45,90.0,top
J2,287.2,-114.516667,90.0,top
J3,287.2,-92.983333,90.0,top
J4,287.2,-136.05,90.0,top
PS1,177.554,-89.229,0.0,top
R1,225.0,-125.05,90.0,top
R2,230.97,-124.88,90.0,top
R3,249.18,-67.45,180.0,top
R4,244.1,-138.15,0.0,top
R5,225.92,-95.145112,270.0,top
R6,230.42,-95.215112,270.0,top
R7,213.0,-138.3,0.0,top
RV1,215.77,-125.25,270.0,top
RV3,228.23,-83.11,270.0,top
U1,159.78,-130.3,0.0,top
U11,256.66,-90.55,0.0,top
U12,257.06,-124.05,0.0,top
U13,97.3,-135.76,0.0,top
U2,118.4825,-105.15,270.0,top
U22,97.3,-123.56,0.0,top
U23,97.265,-73.89,180.0,top
U3,97.3,-115.94,0.0,top
U5,97.265,-66.95,180.0,top
U6,97.3,-143.38,0.0,top
