Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C7, C8, C9",CP_Radial_D5.0mm_P2.00mm,5,10uf,
"C12, C13, C2, C5, C6",Capacitor_Disc_D3.8mm_W2.6mm_P2.50mm,5,100nF,
"C3, C4",CP_Radial_D7.5mm_P2.50mm,2,100uF,
"D1, D2, D3",LED_D3.0mm,3,LED,
F1,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,1,Fuse,
"HS1, HS2",Heatsink_Fischer_SK129-STS_42x25mm_2xDrill2.5mm,2,Heatsink,
J1,TerminalBlock_RND_205-00002_1x03_P5.00mm_Horizontal,1,+12V,
J2,TerminalBlock_RND_205-00002_1x03_P5.00mm_Horizontal,1,-12V,
J3,TerminalBlock_RND_205-00002_1x03_P5.00mm_Horizontal,1,GND,
J4,TerminalBlock_RND_205-00002_1x03_P5.00mm_Horizontal,1,+5V,
"R1, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1k8,
"R2, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,220,
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,2k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
"RV1, RV3",Potentiometer_Bourns_3299Y_Vertical,2,200,
U1,Converter_ACDC_MeanWell_IRM-20-xx_THT,1,IRM-20-15,
U11,TO-220-3_Vertical,1,LM350_TO220,
U12,TO-220-3_Vertical,1,LM337_TO220,
"U13, U6",CONN-TH_726386-2,2,EARTH,C305817
U2,Converter_ACDC_MeanWell_IRM-20-xx_THT,1,IRM-20-5,
"U22, U3",CONN-TH_726386-2,2,AC/L,C305817
"U23, U5",CONN-TH_726386-2,2,AC/N,C305817
U4,PWRM-TH_IRM-30-12,1,IRM-30-15,C193295
