Designator,Mid X,Mid Y,Rotation,Layer
C1,127.67,-84.99,180.0,top
C10,188.3,-29.1,90.0,top
C12,195.2,-90.4,90.0,top
C13,194.7,-29.15,270.0,top
C2,127.76,-92.52,180.0,top
C3,129.8,-73.65,90.0,top
C4,145.43,-34.02,90.0,top
C5,138.3,-73.7,90.0,top
C6,145.54,-27.33,0.0,top
C7,150.5,-64.755113,90.0,top
C8,149.2,-55.744888,270.0,top
C9,188.7,-89.8,0.0,top
D1,178.1,-29.2,270.0,top
D2,182.0,-89.7,270.0,top
D3,140.2,-87.73,90.0,top
F1,34.1,-48.9,90.0,top
H1,54.9,-31.3,0.0,top
H2,54.9,-92.1,0.0,top
H3,202.2,-28.7,0.0,top
H4,202.2,-89.7,0.0,top
HS1,182.6,-73.1,0.0,top
HS2,182.3,-45.4,0.0,top
J1,212.8,-33.366667,90.0,top
J2,212.8,-69.3,90.0,top
J3,212.8,-51.333334,90.0,top
J4,212.8,-87.266667,90.0,top
R1,147.47,-74.6,90.0,top
R2,153.44,-74.43,90.0,top
R3,167.94,-29.21,0.0,top
R4,172.0,-89.5,0.0,top
R5,146.92,-45.64,270.0,top
R6,151.42,-45.71,270.0,top
R7,133.3,-87.8,90.0,top
RV1,154.63,-86.74,270.0,top
RV3,156.23,-32.44,270.0,top
U1,95.98,-80.6,0.0,top
U11,182.26,-50.1,0.0,top
U12,182.66,-77.8,0.0,top
U13,33.5,-85.58,0.0,top
U2,54.7,-61.4,270.0,top
U22,33.755,-73.38,0.0,top
U23,31.16,-30.145,90.0,top
U3,33.755,-65.76,0.0,top
U4,104.9,-34.72,0.0,top
U5,38.1,-30.145,90.0,top
U6,33.5,-93.2,0.0,top
